"tconst","primaryTitle","releaseYear","isAdult","runtimeMinutes","genres","worldwideSalesDollars","averageRating","numVotes","directors","writers","mainCast"
"tt0012349","The Kid",1921,0,68,"Comedy,Drama,Family",NA,8.3,123830,"nm0000122","nm0000122","nm0088471, nm0000122, nm0701012, nm0001067, nm0588033, nm0042317, nm0047800, nm0048798, nm0074788, nm0080930"
"tt0013442","Nosferatu",1922,0,94,"Fantasy,Horror",NA,7.9,94746,"nm0003638","nm0301961,nm0831290","nm0775180, nm0334603, nm0903194, nm0775659"
"tt0015648","Battleship Potemkin",1925,0,75,"Drama,History,Thriller",NA,8,56806,"nm0001178","nm0012810,nm0001178,nm0017893,nm0038595,nm0872308","nm0031446, nm0058290, nm0017893, nm0090434"
"tt0015864","The Gold Rush",1925,0,95,"Adventure,Comedy,Drama",NA,8.2,109160,"nm0000122","nm0000122","nm1027682, nm0000122, nm0841501, nm0615306, nm0074788, nm0906618, nm0354913, nm1033900"
"tt0017136","Metropolis",1927,0,153,"Drama,Sci-Fi",NA,8.3,170728,"nm0000485","nm0902376,nm0000485","nm0375609, nm0002154, nm0297054, nm0459030"
"tt0017925","The General",1926,0,67,"Action,Adventure,Comedy",NA,8.2,89352,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548","nm0000036, nm0533045, nm0147070, nm0267650"
"tt0018455","Sunrise",1927,0,94,"Drama,Romance",NA,8.1,50432,"nm0003638","nm0562346,nm0837183,nm0385012,nm0129721","nm0639563, nm0310980, nm0515272, nm0743017"
"tt0019254","The Passion of Joan of Arc",1928,0,110,"Biography,Drama,History",NA,8.2,53162,"nm0003433","nm0217865,nm0003433","nm0266029, nm0798564, nm0075551, nm0776914"
"tt0020629","All Quiet on the Western Front",1930,0,152,"Drama,War",NA,8.1,60560,"nm0587277","nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277","nm0000817, nm0938464, nm0942046, nm0524803"
"tt0021749","City Lights",1931,0,87,"Comedy,Drama,Romance",NA,8.5,180640,"nm0000122","nm0000122,nm0139714,nm0188357","nm0000122, nm0156039, nm5681967, nm0616729"
"tt0021814","Dracula",1931,0,75,"Drama,Fantasy,Horror",NA,7.4,51087,"nm0115218,nm0005713","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574","nm0000509, nm0151377, nm0543115, nm0296859"
"tt0021884","Frankenstein",1931,0,70,"Drama,Horror,Sci-Fi",NA,7.8,70718,"nm0001843","nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246","nm0166972, nm0164883, nm0000472, nm0092900"
"tt0022100","M",1931,0,117,"Crime,Mystery,Thriller",NA,8.3,154447,"nm0000485","nm0902376,nm0000485,nm0414825","nm0000048, nm0927145, nm0484737, nm0921532"
"tt0025316","It Happened One Night",1934,0,105,"Comedy,Romance",NA,8.1,101599,"nm0001008","nm0728307,nm0011343","nm0858977, nm0000022, nm0001055, nm0175369, nm0439850"
"tt0026029","The 39 Steps",1935,0,86,"Crime,Mystery,Thriller",NA,7.6,56044,"nm0000033","nm0117955,nm0071657,nm0067308","nm0232196, nm0140914, nm0543169, nm0853607"
"tt0027977","Modern Times",1936,0,87,"Comedy,Drama,Romance",NA,8.5,235802,"nm0000122","nm0000122","nm0305087, nm0000122, nm0002104, nm0074788, nm0761866, nm0174682, nm0003424, nm0090008"
"tt0029583","Snow White and the Seven Dwarfs",1937,0,83,"Adventure,Animation,Family",NA,7.6,194330,"nm0604392,nm0789313,nm0414144,nm0668998,nm0359457,nm0183183","nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324","nm0143314, nm0830968, nm0479164, nm0041165"
"tt0029583","Snow White and the Seven Dwarfs",1937,0,83,"Adventure,Animation,Family",184925486,7.6,194330,"nm0604392,nm0789313,nm0414144,nm0668998,nm0359457,nm0183183","nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324","nm0143314, nm0830968, nm0479164, nm0041165"
"tt0029843","The Adventures of Robin Hood",1938,0,102,"Action,Adventure,Romance",NA,7.9,50360,"nm0445033,nm0002031","nm0706993,nm0589316,nm0500284","nm0001224, nm0000014, nm0001651, nm0001647"
"tt0029947","Bringing Up Baby",1938,0,102,"Comedy",NA,7.8,60515,"nm0001328","nm0629580,nm0928444","nm0000031, nm0000026, nm0749476, nm0146185"
"tt0034583","Casablanca",1942,0,102,"Drama,Romance,War",NA,8.5,556614,"nm0002031","nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452","nm0000007, nm0000006, nm0002134, nm0001647"
"tt0035423","Kate & Leopold",2001,0,118,"Comedy,Fantasy,Romance",NA,6.4,83330,"nm0003506","nm0737216,nm0003506","nm0000212, nm0413168, nm0000630, nm0005227"
"tt0036342","Shadow of a Doubt",1943,0,108,"Film-Noir,Thriller",NA,7.8,64251,"nm0000033","nm0928642,nm0072639,nm0720904,nm0568060","nm0942863, nm0001072, nm0136994, nm0871287"
"tt0036613","Arsenic and Old Lace",1943,0,118,"Comedy,Crime,Thriller",NA,7.9,69851,"nm0001008","nm0258493,nm0258525,nm0450279","nm0000026, nm0485509, nm0557339, nm0007217"
"tt0036775","Double Indemnity",1944,0,107,"Crime,Drama,Film-Noir",NA,8.3,153516,"nm0000697","nm0000697,nm0151452,nm0128906","nm0534045, nm0001766, nm0000064, nm0056477"
"tt0036868","The Best Years of Our Lives",1946,0,170,"Drama,Romance,War",NA,8.1,62558,"nm0943758","nm0792845,nm0437969","nm0001485, nm0000763, nm0545298, nm0942863"
"tt0038355","The Big Sleep",1946,0,114,"Crime,Film-Noir,Mystery",NA,7.9,84209,"nm0001328","nm0001203,nm0102824,nm0299154,nm0151452","nm0000007, nm0000002, nm0725891, nm0896015"
"tt0038650","It's a Wonderful Life",1946,0,130,"Drama,Family,Fantasy",NA,8.7,442289,"nm0001008","nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858","nm0000071, nm0001656, nm0000859, nm0593775"
"tt0038787","Notorious",1946,0,102,"Drama,Film-Noir,Romance",NA,7.9,99424,"nm0000033","nm0372942,nm0000033,nm0285218,nm0644048","nm0000026, nm0000006, nm0001647, nm0129894"
"tt0040522","Bicycle Thieves",1948,0,89,"Drama",NA,8.3,159871,"nm0001120","nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291","nm0536009, nm0821543, nm0136794, nm0022821"
"tt0040746","Rope",1948,0,80,"Crime,Drama,Mystery",NA,8,140089,"nm0000033","nm0002025,nm0358096,nm0491306,nm0372942","nm0000071, nm0197982, nm0335048, nm0389516"
"tt0040897","The Treasure of the Sierra Madre",1948,0,126,"Adventure,Drama,Western",NA,8.2,122448,"nm0001379","nm0001379,nm0871252","nm0000007, nm0404158, nm0392529, nm0071636"
"tt0041959","The Third Man",1949,0,104,"Film-Noir,Mystery,Thriller",NA,8.1,168775,"nm0715346","nm0001294,nm0000080,nm0466099,nm0715346","nm0000080, nm0001072, nm0885098, nm0002145"
"tt0042192","All About Eve",1950,0,138,"Drama",NA,8.3,128900,"nm0000581","nm0000581,nm0650581","nm0000012, nm0000879, nm0001695, nm0002141"
"tt0042332","Cinderella",1950,0,74,"Animation,Family,Fantasy",NA,7.3,156187,"nm0314671,nm0527217,nm0414144","nm0674518,nm0670328,nm0672093,nm0780799,nm0382548,nm0109205,nm0716206,nm0027011,nm0727370,nm0710683,nm0850895","nm0940627, nm0531763, nm0041598, nm0271658"
"tt0047437","Sabrina",1954,0,113,"Comedy,Drama,Romance",NA,7.6,63752,"nm0000697","nm0000697,nm0853138,nm0499626","nm0000007, nm0000030, nm0000034, nm0358899"
"tt0047478","Seven Samurai",1954,0,207,"Action,Drama",NA,8.7,337221,"nm0000041","nm0000041,nm0368074,nm0644823","nm0001536, nm0793766, nm0875477, nm0793616"
"tt0047528","The Road",1954,0,108,"Drama",NA,8,62215,"nm0000019","nm0000019,nm0684083,nm0280919","nm0000063, nm0556399, nm0000865, nm0798570"
"tt0048728","To Catch a Thief",1955,0,106,"Mystery,Romance,Thriller",NA,7.4,71454,"nm0000033","nm0371088,nm0230196,nm0178785","nm0000026, nm0000038, nm0484829, nm0002369"
"tt0049406","The Killing",1956,0,84,"Crime,Drama,Film-Noir",NA,8,88096,"nm0000040","nm0000040,nm0860292,nm0925137","nm0001330, nm0336531, nm0250436, nm0282435"
"tt0049470","The Man Who Knew Too Much",1956,0,120,"Drama,Thriller",NA,7.4,63369,"nm0000033","nm0371088,nm0071657,nm0943922,nm0534191","nm0000071, nm0000013, nm0207219, nm0587061"
"tt0052311","Touch of Evil",1958,0,95,"Crime,Drama,Film-Noir",NA,8,103141,"nm0000080","nm0000080,nm0557767,nm0168759,nm0597574","nm0000032, nm0000080, nm0001463, nm0130407"
"tt0052357","Vertigo",1958,0,128,"Mystery,Romance,Thriller",NA,8.3,392406,"nm0000033","nm0178785,nm0853138,nm0092267,nm0092268,nm0027173","nm0000071, nm0001571, nm0000895, nm0375738"
"tt0052561","Anatomy of a Murder",1959,0,161,"Drama,Mystery",NA,8,65093,"nm0695937","nm0562606,nm0871261","nm0000071, nm0001665, nm0001262, nm0640023"
"tt0052618","Ben-Hur",1959,0,212,"Adventure,Drama,History",NA,8.1,233924,"nm0943758","nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737","nm0000032, nm0370144, nm0000963, nm0361823"
"tt0053125","North by Northwest",1959,0,136,"Adventure,Mystery,Thriller",NA,8.3,319975,"nm0000033","nm0499626","nm0000026, nm0001693, nm0000051, nm0484829"
"tt0053198","The 400 Blows",1959,0,99,"Crime,Drama",NA,8.1,114816,"nm0000076","nm0000076,nm0610115","nm0529543, nm0753716, nm0561158, nm0213948"
"tt0053221","Rio Bravo",1959,0,141,"Western",NA,8,61125,"nm0001328","nm0299154,nm0102824,nm0564800","nm0000078, nm0001509, nm0625699, nm0001141"
"tt0053285","Sleeping Beauty",1959,0,75,"Adventure,Animation,Family",NA,7.3,145385,"nm0314671,nm0164203,nm0718627,nm0527217,nm0488981","nm0672093,nm0674518,nm0727370,nm0382548,nm0670328,nm0780799,nm0942723,nm0052520","nm0182250, nm0794301, nm0041598, nm0271658"
"tt0053291","Some Like It Hot",1959,0,121,"Comedy,Music,Romance",NA,8.2,260807,"nm0000697","nm0000697,nm0224634,nm0858329,nm0517615","nm0000054, nm0000348, nm0000493, nm0706368"
