"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt4160708",2016,"Crime,Horror,Thriller",7.1,263001,"nm1793079","nm1793079,nm2140186","popular"
"tt1527788",2010,"Action,Crime,Drama",7.7,68181,"nm2556572","nm2556572","unpopular"
"tt1366344",2011,"Comedy",5.6,70366,"nm0337773","nm2651299,nm0848966","unpopular"
"tt3480822",2021,"Action,Adventure,Sci-Fi",6.7,343718,"nm0795153","nm3069408,nm2356614,nm0072600","popular"
"tt0063350",1968,"Horror,Thriller",7.8,125251,"nm0001681","nm0751652,nm0001681","unpopular"
"tt0800069",2007,"Horror,Thriller",5.1,63596,"nm1170286","nm0000127,nm0186617","unpopular"
"tt1714206",2013,"Comedy,Drama,Romance",7.1,150863,"nm1242054","nm2354099,nm2352210,nm4043665","unpopular"
"tt1706620",2013,"Action,Sci-Fi,Thriller",7.1,351290,"nm0094435","nm2441468,nm0499429,nm2440893,nm0094435,nm1031176","unpopular"
"tt3530002",2015,"Comedy,Fantasy",6.4,73526,"nm1349522","nm1349522,nm3773434,nm3782043,nm1698571","unpopular"
"tt0052618",1959,"Adventure,Drama,History",8.1,233924,"nm0943758","nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737","unpopular"
"tt0116996",1996,"Comedy,Sci-Fi",6.4,223304,"nm0000318","nm0114083,nm0312481,nm0940071,nm0694035,nm0766921,nm0312607","unpopular"
"tt10272386",2020,"Drama,Mystery",8.3,129793,"nm1725469","nm0358960,nm1725469","unpopular"
"tt0457400",2009,"Action,Adventure,Comedy",5.3,69765,"nm0797869","nm0376260,nm0574005,nm0471898,nm0471897","unpopular"
"tt0822847",2011,"Action,Adventure,Fantasy",5.7,119041,"nm0829820","nm2309430,nm2312828","unpopular"
"tt6147768",2016,"Action,Drama,Sport",6.4,237,"nm8509498","nm8509498","popular"
"tt1687901",2011,"Horror,Thriller",6.5,66025,"nm1960322","nm0901446,nm1960322","unpopular"
"tt1832382",2011,"Drama",8.3,239992,"nm1410815","nm1410815","unpopular"
"tt1524930",2015,"Adventure,Comedy",6.1,108925,"nm0326246,nm0197855","nm0326246,nm0197855,nm0000455","unpopular"
